"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",127400,124400,132520,123680,131200,125360,134720,127040,132320,124920,129760,120280
"B",144360,30080,36120,33680,27720,40720,41400,41000,26280,35160,36960,150000
"C",122520,117760,99040,89520,122120,111920,107200,116480,102880,116480,120960,123560
"D",133960,90600,124800,113120,128600,125120,119680,122520,127680,107440,127920,128680
"E",134200,113040,120000,105640,111320,124240,135200,127160,124400,126120,131280,123720
"F",132440,115760,123880,114640,115240,120280,127760,122000,122240,127720,135760,124440
"G",132360,112640,127960,119240,123160,112480,124880,121920,118440,125200,128840,126480
"H",129880,114360,119400,117320,119760,131160,120120,120560,126160,130800,137800,122840
"I",126200,117800,131920,113360,117280,117640,127800,120400,123520,116680,135440,118120
"J",130040,114600,118520,113640,117160,122000,128120,133280,121240,126920,132960,126840
"K",126840,115480,123680,110480,115200,119160,115600,123560,121640,118240,122640,115720
"L",131760,102800,114480,111080,112160,118440,130960,121240,125520,118920,129840,120480
"M",127640,89080,94760,100360,100800,109760,119680,114840,110080,116440,120160,114280
"N",131280,82120,90720,102600,99160,102840,112880,108160,101640,106880,109280,134520
"O",131040,28280,35360,34920,33840,48440,46160,42880,35840,37640,44280,134880
"P",122040,129800,140680,135400,140440,144160,127560,126280,141840,135840,139640,136320
