"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294520
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236520
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243240
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272480
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284120
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296760
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,284600,326200
"I",62680,80400,82800,90240,128960,118080,143400,193640,224600,318880,263640
"J",60480,67880,75480,95400,116840,133760,154560,197440,228720,301480,306080
"K",44360,53840,71080,79600,85920,108080,142880,162800,195480,265680,297800
"L",39200,46840,54200,66240,76440,101120,122840,148840,168520,223320,270840
"M",28600,37200,43480,43680,55040,74960,94160,112640,141360,207000,268080
"N",24240,29440,33240,35920,38480,42280,48080,56880,64000,98760,251320
"O",26440,31560,31840,28960,32680,39920,41800,45320,52240,53480,264200
