"","2","3","4","5","6","7","8","9","10","11","12"
"B",43840,42000,44400,44640,44920,47560,50520,50160,51160,49040,174000
"C",53840,66880,64840,63200,71000,82240,90760,92520,110200,129360,176360
"D",128720,140600,151880,152840,180120,171240,183720,189560,192880,226600,214600
"E",131960,151920,156160,174640,178040,176200,198560,218440,227200,234800,199160
"F",176400,198120,202560,212680,220320,222720,215320,235760,212040,171200,190000
"G",172840,193040,186760,207720,200920,227160,213640,205120,185960,182800,218680
"H",178040,208960,210800,216160,216360,220720,221400,209840,206000,188360,233960
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,198400,234560
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275200
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204520
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174640
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233560
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198440
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229200
