"","2","3","4","5","6","7","8","9","10","11","12"
"B",32040,31160,31760,33400,35040,35120,33880,34880,34240,31960,156120
"C",43360,45040,51560,52040,52600,54280,54360,58680,57600,58520,164720
"D",82320,95960,94560,99680,105800,103760,103800,104800,106640,106280,187480
"E",92840,105440,109920,115080,116880,120760,113000,125760,115000,132200,172720
"F",114280,118240,122120,121160,129520,138000,134800,128040,138320,153440,221880
"G",99520,116960,127720,130320,128160,146720,123040,157280,169920,138560,181360
"H",97640,108680,112160,120040,127200,127080,117120,121680,129760,151200,185680
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,153160,218880
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202200
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144400
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172600
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152200
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155320
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179760
