"","2","3","4","5","6","7","8","9","10","11","12"
"B",1760,1960,2640,2640,2960,4680,10280,12320,15760,24360,170480
"C",1800,2160,3280,5040,11400,21040,44360,63760,74120,105320,169400
"D",1480,1360,5000,4400,11480,28680,78120,107440,113880,144400,175880
"E",1320,1400,1880,3320,10360,29480,95280,129560,135440,166640,181800
"F",1360,1600,2920,5120,15560,53960,130680,161240,187160,185040,177560
"G",1880,2440,4040,9800,43000,85160,149440,158200,178120,209240,185400
"H",4880,8320,13320,29680,77440,124000,176480,169680,166120,180680,176960
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,182400,186280
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182720
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166200
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186040
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166480
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172480
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159600
