"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117800
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128920
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135040
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136600
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133960
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140240
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,133720,131240
"I",97480,113160,115840,131760,127480,130080,133880,129680,134840,126160,132920
"J",94040,106800,122520,120640,128280,132840,133160,131680,132080,132440,133160
"K",88240,102200,111480,120960,124920,125080,128360,124360,124400,125480,129920
"L",68800,89400,103640,108720,111880,118920,113080,115240,123640,118560,135760
"M",55640,69120,80760,94680,92600,102440,102120,105360,102960,110640,132520
"N",47160,58240,64720,76920,82960,87960,89920,89400,94600,92400,128120
"O",21560,26280,30640,32760,35520,38640,41480,40360,42520,44360,131960
