"","2","3","4","5","6","7","8","9","10","11","12"
"B",34200,37720,42880,42760,40960,36960,36160,40360,40000,41120,108560
"C",50720,66000,74600,73880,85960,71560,74320,73440,80800,88160,103760
"D",61960,76000,84880,100520,88000,88720,89160,90720,95440,98320,112160
"E",57400,74120,90160,103040,100520,116520,109920,96480,100680,107080,120880
"F",105480,99320,101400,103040,114320,114560,113600,116240,117680,118200,124920
"G",95880,111360,109760,111880,112480,113960,118240,115000,118920,132880,125040
"H",91600,117040,106760,117240,120960,122600,124960,125120,125760,137680,123120
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,133280,134960
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119360
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116800
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109520
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100360
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113240
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108400
