"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",6237,7693,7159,6748,6392,7242,7305,7620,8088,8104,5665,5242
"B",6981,2214,3189,3806,4652,5136,4936,5147,4679,4343,3617,5473
"C",7574,2599,3884,4550,5300,5845,5801,5527,6790,6466,5780,6813
"D",7021,3167,3947,4724,5516,6961,6583,7018,6732,6096,6186,6217
"E",7243,3225,4449,5295,6994,7077,6645,7540,6879,7514,6799,7213
"F",7314,4054,5756,5567,6744,6484,7098,8169,7287,7601,6458,6994
"G",7408,5559,6784,7811,7913,8487,8994,9006,9437,9059,7803,7977
"H",6024,5728,5147,5840,6512,6727,6132,6024,7325,6208,6216,5768
