"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",71,54133,35936,30464,34141,67954,67739,42829,66719,70720,40510,41387
"B",71,7550,12959,22013,40258,30898,51300,71079,54435,49140,75799,66222
"C",46,8618,13940,15449,27892,33748,51261,48453,64168,59823,54969,93252
"D",46,10366,16067,17959,27225,35736,54274,48895,54793,61237,57066,62460
"E",52,10134,15142,19034,31389,41078,53523,54927,59566,59909,59115,69787
"F",116,11812,18090,29100,43645,56929,61308,63211,66108,64562,57201,60510
"G",177,88626,86074,97703,93420,83608,86215,69969,75350,87475,98828,65520
"H",171,67066,65914,67771,73919,61755,75351,65741,76155,73421,87023,56129
