"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",158,65740,59331,65891,64733,61605,60646,64341,64580,60370,56431,40588
"B",175,52365,60443,62683,58525,66508,51500,66878,62088,54932,54930,38357
"C",197,69263,75275,69955,85366,90687,81704,87008,80405,66620,74126,47853
"D",191,65701,75811,99089,80454,84549,86309,89995,78145,76929,69005,47607
"E",208,68804,91151,86892,91665,81097,87319,89544,84423,66780,76273,56752
"F",233,70114,74200,76750,79704,84162,77028,79840,79633,69763,66804,49930
"G",205,66630,85156,84789,73159,84882,74287,80731,81879,63741,71380,54422
"H",136,52682,71283,76360,61913,76900,66171,76054,78640,62369,72259,44930
