"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",23470,21288,23148,22372,22593,22066,22622,22578,19232,19813,20760,23709
"B",21980,12108,12709,12931,12721,15508,16072,14111,13469,14040,19053,21285
"C",25297,14807,18020,18815,18248,17233,16324,18964,15153,16084,17453,21944
"D",28922,20694,20179,19954,22869,20741,25250,20221,19532,17972,21058,20000
"E",33585,26184,29910,26736,28986,28381,30860,28586,22040,22433,22385,20791
"F",30157,29750,27977,32475,38600,29710,36289,32995,26623,25288,27232,23010
"G",31439,28214,33060,35092,34734,31465,31555,32883,30373,28083,27074,25861
"H",27458,35674,29968,33668,33237,36581,34399,30916,24919,27393,26806,27292
