"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",10,909,6105,26946,6049,13948,26977,32678,5370,24110,21947,32870
"B",8,139,105,104,455,1496,3819,11459,23220,33992,36169,35236
"C",5,74,63,54,169,1618,1470,4306,28545,15029,13268,11551
"D",8,47,43,49,125,507,2721,8319,11960,30273,25263,31060
"E",7,39,62,97,142,3499,5296,13101,41849,29344,28714,34558
"F",17,50,72,89,110,377,4235,8526,6470,26530,26893,32524
"G",35,195,231,245,565,1253,6648,14417,20985,28193,30899,34744
"H",56,44617,42320,34135,47427,46985,39125,33092,40962,29388,29708,25354
