"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",28,16972,14824,23466,11590,11523,24414,19125,14538,16597,16587,20414
"B",23,40,60,52,60,57,59,67,55,45,72,11396
"C",7,11,13,29,26,26,59,46,49,64,72,15856
"D",0,5,34,22,68,478,1687,1834,6353,1838,3373,13180
"E",3,11,31,24,140,595,3645,2875,5477,3943,5115,20408
"F",12,22,32,53,399,1933,6335,3429,5378,6587,7107,23006
"G",19,154,118,572,2571,7410,16048,16951,11501,21487,21327,18005
"H",20,11962,11397,13230,12003,14806,11588,17861,12575,16785,13253,12843
