"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",74381,116411,102884,98901,100610,101057,113414,116235,120590,121613,100461,99821
"B",288,84635,89159,113664,109083,107570,94783,99148,137344,111286,5050,64770
"C",318,23845,211586,57843,114225,91919,81249,129612,81649,154353,84631,94297
"D",432,53932,213147,76264,113836,147780,160722,139906,100761,150110,86714,83036
"E",113985,114039,144857,127635,132918,136944,150044,134894,135515,133317,131001,107581
"F",123045,128717,153635,126584,152095,149079,147374,159244,141698,147486,112451,112548
"G",124730,133677,144931,139230,147176,155490,150709,159395,150306,141058,103211,122079
"H",106637,138282,147364,148385,145046,147806,152568,141469,140013,134735,106310,117323
