"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",68,44830,37655,37270,59046,50579,43333,59915,67091,53213,66370,68750
"B",46,112,138,175,191,1342,200,233,307,350,398,74105
"C",20,741,394,465,1506,1188,4781,12872,22234,24230,31139,67087
"D",13,758,1356,1341,2661,7214,13692,25613,34647,43065,39358,66262
"E",12,1291,1014,1497,2766,4220,14882,29540,42548,40304,45526,55116
"F",16,1150,1200,1819,2255,7215,13761,35164,43919,58902,59264,78647
"G",75,2135,2262,2364,4122,6965,17297,36217,49145,58998,55078,54598
"H",58,43141,50734,48239,54389,53908,62843,64037,65207,63889,65861,50122
