"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",36546,38151,32414,34749,37733,29753,30080,28518,25318,21007,20385,27221
"B",35729,10856,12229,18199,16123,19898,22611,21627,17627,17520,19066,21778
"C",28577,11907,14127,20240,20680,29604,22872,32627,18909,21318,22218,25062
"D",29311,13974,14807,18862,25209,27926,27599,30397,22693,23163,21340,25466
"E",27351,13376,17925,21527,25373,31242,35305,35796,27597,25026,24035,28463
"F",28493,13161,17895,21531,26197,29622,32510,39590,29692,29831,25098,30747
"G",27699,14842,16477,22841,22620,35198,36162,33643,25952,31664,29543,28884
"H",26254,34624,36700,37759,36771,36296,33597,38166,32432,32442,31803,33542
