"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",101,64623,68321,72617,70573,77234,72608,73538,65101,65835,55541,42844
"B",122,37773,46706,52134,53950,65437,54589,47184,53240,53342,44772,48613
"C",151,40893,48133,57082,59220,59733,59012,55601,58479,53578,51106,45008
"D",171,52143,57105,59863,67840,73703,66685,52788,64012,59707,55900,42687
"E",172,54357,72652,64262,67368,68258,66429,56710,63330,63083,56692,44150
"F",197,48971,62768,50325,58903,69382,65253,53758,65678,56266,59960,41732
"G",187,60514,65513,70058,64459,73098,63993,73787,60696,69657,47479,49179
"H",133,48239,63624,55178,60489,51958,63346,58725,76420,44783,56836,40946
