"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",19,16755,7446,12687,14167,16312,16882,17481,14564,15987,15063,7882
"B",16,35,40,45,50,48,55,79,58,53,59,13505
"C",10,13,18,14,16,25,28,39,38,106,82,12386
"D",8,11,22,51,159,693,1788,1995,2332,2595,2916,16890
"E",4,19,29,20,116,435,4093,4027,5619,3759,6316,20991
"F",6,36,39,68,546,1707,4753,5723,6739,10432,5813,26806
"G",23,126,438,1280,3159,9646,18166,27431,22626,15014,24930,15708
"H",18,16585,16537,15804,13303,12297,16047,16662,21609,14215,15323,28791
