"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",32566,32076,35630,33579,34657,33269,31160,32990,34198,32263,34002,31591
"B",35445,5312,6661,5246,5592,4874,4262,4384,3904,3577,4722,28764
"C",37209,14890,14658,14054,14022,12916,14469,13452,13946,12628,11885,33342
"D",37861,23698,25881,24608,25305,24306,22065,21988,25729,22202,23444,30310
"E",35027,32570,37538,35055,36922,34674,33131,35337,34184,34349,30819,32305
"F",38960,36751,37899,37466,39489,36529,38390,38692,41904,37125,36989,32186
"G",43090,38385,40794,38525,39699,42562,38242,40907,39838,39097,41982,29937
"H",31996,35177,36550,37347,37540,33934,38056,34670,35199,29422,36336,28401
