"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",77,57851,55598,64095,64561,63582,61859,57556,58547,60311,52847,41371
"B",63,13576,17758,25432,27321,31109,35112,38421,37129,42931,60075,51681
"C",59,16471,22741,27163,30925,38730,46135,38349,41833,38501,35929,42466
"D",61,19234,24710,26985,29562,33564,41200,36499,43228,37916,41511,55465
"E",72,19420,22876,24973,31481,33668,36744,41622,42023,39864,37468,40234
"F",103,21523,27521,30243,37475,46813,42990,39017,48765,42947,43360,45299
"G",143,62718,78107,71944,72854,85222,80801,69690,72457,75858,73447,49926
"H",121,48778,73162,58262,66873,71996,67895,63035,63626,62095,54502,43960
