"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",122016,140368,135961,140474,139119,145302,132577,139510,133324,129512,133066,132055
"B",128560,757,655,651,635,684,655,611,683,653,800,157040
"C",133013,96597,91668,100858,81469,97891,92054,82172,98376,80302,89744,135561
"D",130029,122253,112355,110589,107972,114301,95542,98103,110861,97086,92666,122231
"E",125604,139915,145484,143807,151711,146530,147541,132725,150900,139586,132072,149730
"F",128448,144022,154858,160808,148817,166919,139785,140824,152729,136716,148724,131730
"G",130513,135633,138969,147035,139798,157668,137649,143915,153232,142022,140585,134365
"H",127259,149548,137777,149502,148851,149815,134706,136665,140406,122066,131253,125041
